case,city,date,summary,fatalities,injured,total_victims,location,age_of_shooter,race,gender,latitude,longitude,type,year
Rite Aid warehouse shooting,"Perryman, Maryland",9/20/2018,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,Workplace,26,Black,Female,39.455658,-76.208485,Mass,2018
T&T Trucking shooting,"Bakersfield, California",9/12/2018,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,0,5,Workplace,54,Latino,Male,35.349388,-118.916335,Spree,2018
Fifth Third Center shooting,"Cincinnati, Ohio",9/6/2018,"Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",3,2,5,Workplace,29,Latino,Male,39.101981,-84.511782,Mass,2018
Capital Gazette shooting,"Annapolis, Maryland",6/28/2018,"Jarrod W. Ramos, 38, shot through the glass doors of the paper's newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",5,2,7,Workplace,38,White,Male,38.994548,-76.543657,Mass,2018
Santa Fe High School shooting,"Santa Fe, Texas",5/18/2018,"Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. ",10,13,23,School,17,White,Male,29.392825,-95.141972,Mass,2018
Waffle House shooting,"Nashville, Tennessee",4/22/2018,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as ""a sovereign citizen."" ",4,4,8,Other,29,White,Male,36.052521,-86.616944,Mass,2018
Yountville veterans home shooting,"Yountville, California",3/9/2018,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff's deputy and taking three women hostage, one of whom he'd previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,0,3,Workplace,36,Asian,Male,38.392496,-122.366528,Mass,2018
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",2/14/2018,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and ""countless magazines"" of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,School,19,White,Male,26.30483,-80.269511,Mass,2018
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",1/28/2018,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",4,1,5,Other,28,White,Male,40.052151,-79.389166,Mass,2018
Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/2017,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,Spree,44,White,Male,40.018759,-122.393089,Spree,2017
Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/5/2017,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",26,20,46,Religious,26,White,Male,29.273282,-98.056488,Mass,2017
Walmart shooting in suburban Denver,"Thornton, Colorado",11/1/2017,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,Other,47,White,Male,39.876374,-104.986132,Mass,2017
Edgewood businees park shooting,"Edgewood, Maryland",10/18/2017,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,Workplace,37,Black,Male,39.452189,-76.309988,Mass,2017
Las Vegas Strip massacre,"Las Vegas, Nevada",10/1/2017,"Stephen Craig Paddock, 64, fired a barrage of rapid gunfire using semiautomatic rifles modified with ""bump stocks"" at thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from windows he'd smashed open. Police responding to the attack found Paddock inside the hotel suite, deceased from a self-inflicted gunshot.",58,546,604,Other,64,White,Male,36.095739,-115.171544,Mass,2017
San Francisco UPS shooting,"San Francisco, California",6/14/2017,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Workplace,38,Asian,Male,37.765947,-122.406087,Mass,2017
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",6/7/2017,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Workplace,24,White,Male,41.529546,-75.94722,Mass,2017
